geometry,brand,brand:wikidata,name,shop,addr:city,addr:postcode,addr:street,website,addr:housenumber,opening_hours,building,longitude,latitude
"POLYGON ((80.1490986 13.1229214, 80.1493722 13.1226931, 80.1493636 13.1226441, 80.1493252 13.1226036, 80.1490478 13.122865, 80.1490986 13.1229214))",,,Ponnu Super Market,supermarket,,,,,,,yes,80.1492197718447,13.122762444630013
"POLYGON ((80.1783372 13.0164561, 80.1784771 13.0164246, 80.1784434 13.0162828, 80.1783035 13.0163144, 80.1783372 13.0164561))",Nilgiri's,Q17079567,Nilgiri's,supermarket,,,,https://www.nilgiris1905.com/,,,yes,80.17839030735091,13.01636947133812
"POLYGON ((80.2437089 12.9599603, 80.243817 12.9599241, 80.2437435 12.9597092, 80.2436233 12.9597453, 80.2436685 12.9598553, 80.2437089 12.9599603))",,,JK Supermart,supermarket,,,,,,Mo-Su 09:00-22:00,yes,80.24372269955028,12.95983296612122
"POLYGON ((80.227011 13.0489507, 80.2271254 13.0489247, 80.2271086 13.0488543, 80.2269942 13.0488802, 80.227011 13.0489507))",,,Pazhamudhir Nilayam,supermarket,,,Viswanathapuram Main Road,,,,yes,80.22705978744023,13.048902479078064
"POLYGON ((80.2049645 12.9656845, 80.2050659 12.9656636, 80.2050495 12.9655882, 80.2049481 12.9656092, 80.2049645 12.9656845))",,,Himalayas supermarket,supermarket,,,,,,,yes,80.20500701045121,12.965636371496322
"POLYGON ((80.2217708 13.0649738, 80.2219079 13.0649563, 80.2218865 13.0647968, 80.2217494 13.0648143, 80.2217708 13.0649738))",,,Annachi Kadai,supermarket,,,,,,,yes,80.22182864999772,13.064885300001094
"POLYGON ((80.2051679 12.9375889, 80.205718 12.9375271, 80.2056949 12.9373776, 80.2051486 12.9374258, 80.2051679 12.9375889))",More,Q6910891,More,supermarket,,,,,,,yes,80.20542855625771,12.937480364874297
"POLYGON ((80.224531 13.075879, 80.2247579 13.0758607, 80.2247505 13.075773, 80.2245235 13.0757913, 80.224531 13.075879))",,,Muthu Super Market,supermarket,,,Ayyavoo Street,,,,yes,80.22464072300238,13.075825996963657
"POLYGON ((80.2640384 13.0478346, 80.2641824 13.0478241, 80.2641608 13.0475439, 80.2640168 13.0475545, 80.2640384 13.0478346))",,,Spencer's Food World,supermarket,chennai,600014,Avvai Shanmugam Salai,https://www.spencers.in/,,,yes,80.2640996041582,13.047689273429487
"POLYGON ((80.151626 13.1192602, 80.1515352 13.1192866, 80.1515806 13.1194252, 80.1516758 13.119403, 80.151626 13.1192602))",,,Rajan Supermarket,supermarket,Chennai,,North Park Street,,,,yes,80.15160478747674,13.119344024344684
"POLYGON ((80.1499834 13.1224116, 80.1502271 13.1223605, 80.1502087 13.1221804, 80.1499482 13.1222351, 80.1499834 13.1224116))",,,Pasumai Pazhamudir Nilayam,supermarket,Chennai,600053,Old Township Road,,,Mo-Su 7:30-22:00,yes,80.15009170961346,13.122295907426633
"POLYGON ((80.1519857 13.1186438, 80.1518249 13.1187075, 80.1519429 13.1189831, 80.1521038 13.1189267, 80.1519857 13.1186438))",,,blinkit Grocery store,supermarket,,,,,,,yes,80.15196447142785,13.118814788320638
"POLYGON ((80.2193299 13.0664605, 80.2194115 13.0664724, 80.219445 13.0662543, 80.2193635 13.0662424, 80.2193299 13.0664605))",,,Velammal Store,supermarket,,,,,,,yes,80.21938747121203,13.066357421721849
"POLYGON ((80.1480419 13.1215332, 80.1482401 13.1214007, 80.1478943 13.1212541, 80.1478586 13.1212734, 80.1480419 13.1215332))",,,,supermarket,,,,,,,yes,80.14804018546343,13.121389799820436
"POLYGON ((80.2360693 12.9666734, 80.2361282 12.9666671, 80.2361151 12.9665259, 80.2360585 12.9665354, 80.2360693 12.9666734))",,,,supermarket,,,,,,,commercial,80.23609292929083,12.966600837027263
"POLYGON ((80.1519012 13.1184589, 80.1521362 13.1183479, 80.1520021 13.118084, 80.1517627 13.118216, 80.1519012 13.1184589))",,,Farm Bazzar,supermarket,,,North Park Street,,,,yes,80.15195110719375,13.118275017307534
"POLYGON ((80.1536677 13.1190702, 80.1538001 13.1190549, 80.1537748 13.1188469, 80.1536424 13.1188622, 80.1536677 13.1190702))",,,,supermarket,,,,,,,yes,80.15372124999544,13.118958549994597
"POLYGON ((80.1496324 13.1203268, 80.1496025 13.1202327, 80.1498641 13.1199309, 80.1499181 13.1202728, 80.1496324 13.1203268))",,,Kaveri Supermarket,supermarket,Chennai,600053,Chennai - Tiruttani - Renigunta Road,,,,yes,80.14977850315556,13.1201734836278
"POLYGON ((80.2377171 12.987615, 80.2379129 12.9876163, 80.2379176 12.9875458, 80.2378714 12.9875451, 80.237872 12.9875562, 80.2377567 12.9875562, 80.2377574 12.9875438, 80.2377171 12.9875431, 80.2377171 12.987615))",,,Prime Mart,supermarket,,,,,,Mo-Su 09:00-21:30; PH open,yes,80.23781618411428,12.987583044236974
"POLYGON ((80.2366948 12.9566322, 80.2376389 12.9564845, 80.2376108 12.9562584, 80.2372755 12.9562545, 80.2372326 12.9552233, 80.2368665 12.9552495, 80.2369443 12.9561565, 80.2366425 12.9561931, 80.2366948 12.9566322))",DMart,Q5203271,DMart,supermarket,,,,,,,,80.23708379157291,12.956046813735666
"POLYGON ((80.1523596 13.1185358, 80.1525585 13.1184648, 80.1525296 13.1183185, 80.1523126 13.1184323, 80.1523596 13.1185358))",,,SSK Super Mart,supermarket,,,,,,,yes,80.15244390702338,13.118434590467604
